timestamp             packet_counter    temperature_C     humidity_percent    pressure_hPa   
---------------------------------------------------------------------------------------------
2026-05-21 15:26:07   15                21.69             60.76               998.37         
2026-05-21 15:26:37   30                21.75             61.40               998.39         
2026-05-21 15:28:06   11                21.70             61.77               998.42         
2026-05-21 15:32:17   15                21.74             60.12               998.38         
2026-05-21 15:32:47   30                21.64             59.98               998.52         
2026-05-21 15:33:17   45                21.66             62.54               998.39         
2026-05-21 15:34:19   21                21.72             60.19               998.40         
2026-05-21 15:34:49   36                21.77             59.87               998.36         
2026-05-21 15:38:12   137               21.67             60.30               998.39         
2026-05-21 15:40:05   3                 21.80             60.30               998.43         
2026-05-21 15:40:35   18                21.78             60.40               998.43         
2026-05-21 15:41:05   33                21.82             60.42               998.40         
2026-05-21 15:51:08   232               27.35             52.10               998.29         
2026-05-21 15:51:38   247               27.60             52.90               998.38         
2026-05-21 15:52:08   262               27.21             45.38               998.32         
2026-05-21 15:52:38   277               25.33             48.07               998.37         
2026-05-21 15:53:08   292               24.19             51.08               998.39         
2026-05-21 15:53:38   307               23.37             53.41               998.49         
2026-05-21 15:54:08   322               22.73             55.25               998.41         
2026-05-21 15:54:38   337               22.26             56.62               998.41         
[2026-05-21 16:01:28] Packet: 3 | Temp: 21.30 C | Humi: 61.92 % | Pres: 998.36 hPa
[2026-05-21 16:10:35] Packet: 54 | Temp: 23.45 C | Humi: 55.45 % | Pres: 998.40 hPa
[2026-05-21 16:10:37] Packet: 55 | Temp: 23.20 C | Humi: 55.26 % | Pres: 997.99 hPa
[2026-05-21 16:10:39] Packet: 56 | Temp: 23.42 C | Humi: 55.19 % | Pres: 998.42 hPa
[2026-05-21 16:10:41] Packet: 57 | Temp: 23.39 C | Humi: 55.88 % | Pres: 998.33 hPa
[2026-05-21 16:10:43] Packet: 58 | Temp: 21.68 C | Humi: 55.79 % | Pres: 995.76 hPa
[2026-05-21 16:10:45] Packet: 59 | Temp: 23.26 C | Humi: 55.78 % | Pres: 998.15 hPa
[2026-05-21 16:10:47] Packet: 60 | Temp: 23.32 C | Humi: 55.83 % | Pres: 998.34 hPa
[2026-05-21 16:10:49] Packet: 61 | Temp: 23.15 C | Humi: 55.85 % | Pres: 998.10 hPa
[2026-05-21 16:10:51] Packet: 62 | Temp: 23.11 C | Humi: 55.89 % | Pres: 998.10 hPa
[2026-05-21 16:10:53] Packet: 63 | Temp: 23.21 C | Humi: 55.95 % | Pres: 998.36 hPa
[2026-05-21 16:10:55] Packet: 64 | Temp: 23.15 C | Humi: 56.06 % | Pres: 998.17 hPa
[2026-05-21 16:10:57] Packet: 65 | Temp: 23.15 C | Humi: 56.69 % | Pres: 998.24 hPa
[2026-05-21 16:10:59] Packet: 66 | Temp: 23.15 C | Humi: 56.42 % | Pres: 998.29 hPa
[2026-05-21 16:11:01] Packet: 67 | Temp: 23.14 C | Humi: 56.58 % | Pres: 998.30 hPa
[2026-05-21 16:11:03] Packet: 68 | Temp: 23.04 C | Humi: 56.39 % | Pres: 998.06 hPa
[2026-05-21 16:11:05] Packet: 69 | Temp: 23.14 C | Humi: 56.48 % | Pres: 998.27 hPa
[2026-05-21 16:11:07] Packet: 70 | Temp: 23.04 C | Humi: 56.32 % | Pres: 998.09 hPa
[2026-05-21 16:11:09] Packet: 71 | Temp: 23.10 C | Humi: 56.20 % | Pres: 998.31 hPa
[2026-05-21 16:11:11] Packet: 72 | Temp: 23.01 C | Humi: 56.11 % | Pres: 998.23 hPa
[2026-05-21 16:11:13] Packet: 73 | Temp: 23.07 C | Humi: 56.14 % | Pres: 998.36 hPa
[2026-05-21 16:12:41] Packet: 117 | Temp: 22.83 C | Humi: 57.15 % | Pres: 998.30 hPa
[2026-05-21 16:12:43] Packet: 118 | Temp: 22.80 C | Humi: 57.18 % | Pres: 998.30 hPa
[2026-05-21 16:12:45] Packet: 119 | Temp: 22.82 C | Humi: 57.24 % | Pres: 998.33 hPa
[2026-05-21 16:12:47] Packet: 120 | Temp: 22.80 C | Humi: 57.20 % | Pres: 998.32 hPa
[2026-05-21 16:12:49] Packet: 121 | Temp: 22.80 C | Humi: 57.23 % | Pres: 998.35 hPa
[2026-05-21 16:12:51] Packet: 122 | Temp: 22.79 C | Humi: 57.21 % | Pres: 998.32 hPa
[2026-05-21 16:12:53] Packet: 123 | Temp: 22.78 C | Humi: 57.19 % | Pres: 998.35 hPa
[2026-05-21 16:12:55] Packet: 124 | Temp: 22.77 C | Humi: 57.22 % | Pres: 998.30 hPa
[2026-05-21 16:12:57] Packet: 125 | Temp: 22.73 C | Humi: 57.24 % | Pres: 998.33 hPa
[2026-05-21 16:12:59] Packet: 126 | Temp: 22.49 C | Humi: 57.29 % | Pres: 998.02 hPa
[2026-05-21 16:13:01] Packet: 127 | Temp: 22.65 C | Humi: 57.30 % | Pres: 998.21 hPa
[2026-05-21 16:13:03] Packet: 128 | Temp: 22.69 C | Humi: 57.35 % | Pres: 998.31 hPa
[2026-05-21 16:13:05] Packet: 129 | Temp: 22.68 C | Humi: 57.41 % | Pres: 998.32 hPa
[2026-05-21 16:13:07] Packet: 130 | Temp: 22.67 C | Humi: 57.48 % | Pres: 998.35 hPa
[2026-05-21 16:13:09] Packet: 131 | Temp: 22.67 C | Humi: 57.50 % | Pres: 998.37 hPa
[2026-05-21 16:13:11] Packet: 132 | Temp: 22.61 C | Humi: 57.51 % | Pres: 998.27 hPa
[2026-05-21 16:13:13] Packet: 133 | Temp: 22.63 C | Humi: 57.53 % | Pres: 998.34 hPa
[2026-05-21 16:13:15] Packet: 134 | Temp: 22.60 C | Humi: 57.56 % | Pres: 998.34 hPa
[2026-05-21 16:13:17] Packet: 135 | Temp: 22.61 C | Humi: 57.51 % | Pres: 998.34 hPa
[2026-05-21 16:13:19] Packet: 136 | Temp: 22.60 C | Humi: 57.56 % | Pres: 998.34 hPa
[2026-05-21 16:13:21] Packet: 137 | Temp: 22.60 C | Humi: 57.58 % | Pres: 998.35 hPa
[2026-05-21 16:13:23] Packet: 138 | Temp: 22.61 C | Humi: 57.69 % | Pres: 998.35 hPa
[2026-05-21 16:13:25] Packet: 139 | Temp: 22.59 C | Humi: 57.94 % | Pres: 998.29 hPa
[2026-05-21 16:13:27] Packet: 140 | Temp: 22.61 C | Humi: 57.95 % | Pres: 998.33 hPa
[2026-05-21 16:13:29] Packet: 141 | Temp: 22.61 C | Humi: 57.90 % | Pres: 998.32 hPa
[2026-05-21 16:13:31] Packet: 142 | Temp: 22.60 C | Humi: 57.88 % | Pres: 998.33 hPa
[2026-05-21 16:13:33] Packet: 143 | Temp: 22.61 C | Humi: 57.87 % | Pres: 998.28 hPa
[2026-05-21 16:13:35] Packet: 144 | Temp: 22.60 C | Humi: 57.89 % | Pres: 998.31 hPa
[2026-05-21 16:13:37] Packet: 145 | Temp: 22.60 C | Humi: 57.88 % | Pres: 998.31 hPa
[2026-05-21 16:13:39] Packet: 146 | Temp: 22.59 C | Humi: 57.90 % | Pres: 998.37 hPa
[2026-05-21 16:13:41] Packet: 147 | Temp: 22.59 C | Humi: 57.81 % | Pres: 998.31 hPa
[2026-05-21 16:13:43] Packet: 148 | Temp: 22.60 C | Humi: 57.83 % | Pres: 998.37 hPa
[2026-05-21 16:13:45] Packet: 149 | Temp: 22.60 C | Humi: 57.77 % | Pres: 998.33 hPa
[2026-05-21 16:13:47] Packet: 150 | Temp: 22.59 C | Humi: 57.79 % | Pres: 998.31 hPa
[2026-05-21 16:13:49] Packet: 151 | Temp: 22.61 C | Humi: 57.76 % | Pres: 998.37 hPa
[2026-05-21 16:13:51] Packet: 152 | Temp: 22.61 C | Humi: 57.94 % | Pres: 998.33 hPa
[2026-05-21 16:13:53] Packet: 153 | Temp: 22.61 C | Humi: 57.90 % | Pres: 998.34 hPa
[2026-05-21 16:13:55] Packet: 154 | Temp: 22.60 C | Humi: 57.88 % | Pres: 998.30 hPa
[2026-05-21 16:13:57] Packet: 155 | Temp: 22.61 C | Humi: 57.94 % | Pres: 998.29 hPa
[2026-05-21 16:13:59] Packet: 156 | Temp: 22.62 C | Humi: 57.90 % | Pres: 998.36 hPa
[2026-05-21 16:14:01] Packet: 157 | Temp: 22.62 C | Humi: 57.89 % | Pres: 998.34 hPa
[2026-05-21 16:14:03] Packet: 158 | Temp: 22.63 C | Humi: 57.85 % | Pres: 998.30 hPa
[2026-05-21 16:14:05] Packet: 159 | Temp: 22.63 C | Humi: 57.87 % | Pres: 998.36 hPa
[2026-05-21 16:14:07] Packet: 160 | Temp: 22.63 C | Humi: 57.86 % | Pres: 998.34 hPa
[2026-05-21 16:14:09] Packet: 161 | Temp: 22.63 C | Humi: 57.92 % | Pres: 998.36 hPa
[2026-05-21 16:14:11] Packet: 162 | Temp: 22.64 C | Humi: 57.95 % | Pres: 998.36 hPa
[2026-05-21 16:14:13] Packet: 163 | Temp: 22.64 C | Humi: 57.72 % | Pres: 998.35 hPa
[2026-05-21 16:14:15] Packet: 164 | Temp: 22.64 C | Humi: 57.71 % | Pres: 998.36 hPa
[2026-05-21 16:14:17] Packet: 165 | Temp: 22.64 C | Humi: 57.90 % | Pres: 998.31 hPa
[2026-05-21 16:14:19] Packet: 166 | Temp: 22.64 C | Humi: 57.85 % | Pres: 998.31 hPa
[2026-05-21 16:14:21] Packet: 167 | Temp: 22.64 C | Humi: 57.86 % | Pres: 998.30 hPa
[2026-05-21 16:14:23] Packet: 168 | Temp: 22.64 C | Humi: 57.84 % | Pres: 998.31 hPa
[2026-05-21 16:14:25] Packet: 169 | Temp: 22.64 C | Humi: 57.80 % | Pres: 998.37 hPa
[2026-05-21 16:14:27] Packet: 170 | Temp: 22.65 C | Humi: 57.91 % | Pres: 998.39 hPa
[2026-05-21 16:14:29] Packet: 171 | Temp: 22.64 C | Humi: 57.85 % | Pres: 998.37 hPa
[2026-05-21 16:14:31] Packet: 172 | Temp: 22.63 C | Humi: 57.76 % | Pres: 998.35 hPa
[2026-05-21 16:14:33] Packet: 173 | Temp: 22.64 C | Humi: 57.81 % | Pres: 998.35 hPa
[2026-05-21 16:14:35] Packet: 174 | Temp: 22.65 C | Humi: 57.86 % | Pres: 998.32 hPa
[2026-05-21 16:14:37] Packet: 175 | Temp: 22.65 C | Humi: 57.92 % | Pres: 998.32 hPa
[2026-05-21 16:14:39] Packet: 176 | Temp: 22.66 C | Humi: 57.98 % | Pres: 998.35 hPa
[2026-05-21 16:14:41] Packet: 177 | Temp: 22.65 C | Humi: 58.22 % | Pres: 998.31 hPa
[2026-05-21 16:14:43] Packet: 178 | Temp: 22.66 C | Humi: 57.88 % | Pres: 998.32 hPa
[2026-05-21 16:14:45] Packet: 179 | Temp: 22.65 C | Humi: 57.55 % | Pres: 998.32 hPa
[2026-05-21 16:14:55] Packet: 183 | Temp: 22.65 C | Humi: 57.83 % | Pres: 998.38 hPa
[2026-05-21 16:14:55] Packet: 184 | Temp: 22.65 C | Humi: 57.83 % | Pres: 998.35 hPa
[2026-05-21 16:14:57] Packet: 185 | Temp: 22.67 C | Humi: 57.80 % | Pres: 998.36 hPa
[2026-05-21 16:14:59] Packet: 186 | Temp: 22.63 C | Humi: 58.20 % | Pres: 998.32 hPa
[2026-05-21 16:15:01] Packet: 187 | Temp: 22.67 C | Humi: 58.15 % | Pres: 998.36 hPa
[2026-05-21 16:15:03] Packet: 188 | Temp: 22.63 C | Humi: 58.24 % | Pres: 998.31 hPa
[2026-05-21 16:15:05] Packet: 189 | Temp: 22.66 C | Humi: 58.60 % | Pres: 998.35 hPa
[2026-05-21 16:15:07] Packet: 190 | Temp: 22.66 C | Humi: 58.57 % | Pres: 998.37 hPa
[2026-05-21 16:15:09] Packet: 191 | Temp: 22.67 C | Humi: 58.36 % | Pres: 998.37 hPa
[2026-05-21 16:15:11] Packet: 192 | Temp: 22.67 C | Humi: 58.31 % | Pres: 998.39 hPa
[2026-05-21 16:15:13] Packet: 193 | Temp: 22.67 C | Humi: 58.04 % | Pres: 998.39 hPa
[2026-05-21 16:15:15] Packet: 194 | Temp: 22.67 C | Humi: 57.71 % | Pres: 998.37 hPa
[2026-05-21 16:15:17] Packet: 195 | Temp: 22.65 C | Humi: 57.79 % | Pres: 998.34 hPa
[2026-05-21 16:15:19] Packet: 196 | Temp: 22.67 C | Humi: 57.67 % | Pres: 998.38 hPa
[2026-05-21 16:15:21] Packet: 197 | Temp: 22.64 C | Humi: 57.51 % | Pres: 998.33 hPa
[2026-05-21 16:15:23] Packet: 198 | Temp: 22.68 C | Humi: 57.64 % | Pres: 998.38 hPa
[2026-05-21 16:15:25] Packet: 199 | Temp: 22.68 C | Humi: 57.69 % | Pres: 998.39 hPa
[2026-05-21 16:15:27] Packet: 200 | Temp: 22.67 C | Humi: 57.64 % | Pres: 998.35 hPa
[2026-05-21 16:15:29] Packet: 201 | Temp: 22.68 C | Humi: 57.66 % | Pres: 998.34 hPa
[2026-05-21 16:15:31] Packet: 202 | Temp: 22.67 C | Humi: 57.66 % | Pres: 998.36 hPa
[2026-05-21 16:15:33] Packet: 203 | Temp: 22.64 C | Humi: 57.63 % | Pres: 998.38 hPa
[2026-05-21 16:15:35] Packet: 204 | Temp: 22.60 C | Humi: 57.54 % | Pres: 998.34 hPa
[2026-05-21 16:15:37] Packet: 205 | Temp: 22.60 C | Humi: 57.48 % | Pres: 998.35 hPa
[2026-05-21 16:15:39] Packet: 206 | Temp: 22.60 C | Humi: 57.61 % | Pres: 998.37 hPa
[2026-05-21 16:15:41] Packet: 207 | Temp: 22.59 C | Humi: 57.67 % | Pres: 998.39 hPa
[2026-05-21 16:15:43] Packet: 208 | Temp: 22.59 C | Humi: 57.68 % | Pres: 998.38 hPa
[2026-05-21 16:15:45] Packet: 209 | Temp: 22.58 C | Humi: 57.68 % | Pres: 998.36 hPa
[2026-05-21 16:15:47] Packet: 210 | Temp: 22.57 C | Humi: 57.70 % | Pres: 998.38 hPa
[2026-05-21 16:15:49] Packet: 211 | Temp: 22.57 C | Humi: 57.68 % | Pres: 998.42 hPa
[2026-05-21 16:15:51] Packet: 212 | Temp: 22.57 C | Humi: 57.72 % | Pres: 998.39 hPa
[2026-05-21 16:15:53] Packet: 213 | Temp: 22.55 C | Humi: 57.71 % | Pres: 998.37 hPa
[2026-05-21 16:15:55] Packet: 214 | Temp: 22.54 C | Humi: 57.70 % | Pres: 998.39 hPa
[2026-05-21 16:15:57] Packet: 215 | Temp: 22.51 C | Humi: 57.72 % | Pres: 998.35 hPa
[2026-05-21 16:15:59] Packet: 216 | Temp: 22.49 C | Humi: 57.77 % | Pres: 998.40 hPa
[2026-05-21 16:16:01] Packet: 217 | Temp: 22.49 C | Humi: 57.80 % | Pres: 998.41 hPa
[2026-05-21 16:16:03] Packet: 218 | Temp: 22.47 C | Humi: 57.82 % | Pres: 998.42 hPa
[2026-05-21 16:16:05] Packet: 219 | Temp: 22.45 C | Humi: 57.86 % | Pres: 998.37 hPa
[2026-05-21 16:16:07] Packet: 220 | Temp: 22.44 C | Humi: 57.88 % | Pres: 998.36 hPa
[2026-05-21 16:16:09] Packet: 221 | Temp: 22.43 C | Humi: 57.89 % | Pres: 998.39 hPa
[2026-05-21 16:16:11] Packet: 222 | Temp: 22.42 C | Humi: 57.91 % | Pres: 998.40 hPa
[2026-05-21 16:16:13] Packet: 223 | Temp: 22.41 C | Humi: 57.95 % | Pres: 998.41 hPa
[2026-05-21 16:16:15] Packet: 224 | Temp: 22.41 C | Humi: 57.99 % | Pres: 998.40 hPa
[2026-05-21 16:16:18] Packet: 225 | Temp: 22.41 C | Humi: 58.00 % | Pres: 998.43 hPa
[2026-05-21 16:16:20] Packet: 226 | Temp: 22.41 C | Humi: 58.00 % | Pres: 998.44 hPa
[2026-05-21 16:16:22] Packet: 227 | Temp: 22.40 C | Humi: 58.03 % | Pres: 998.39 hPa
[2026-05-21 16:16:24] Packet: 228 | Temp: 22.40 C | Humi: 58.00 % | Pres: 998.37 hPa
[2026-05-21 16:16:26] Packet: 229 | Temp: 22.38 C | Humi: 57.98 % | Pres: 998.42 hPa
[2026-05-21 16:16:28] Packet: 230 | Temp: 22.38 C | Humi: 58.01 % | Pres: 998.40 hPa
[2026-05-21 16:16:30] Packet: 231 | Temp: 22.37 C | Humi: 58.05 % | Pres: 998.38 hPa
[2026-05-21 16:16:32] Packet: 232 | Temp: 22.35 C | Humi: 58.07 % | Pres: 998.41 hPa
[2026-05-21 16:16:34] Packet: 233 | Temp: 22.36 C | Humi: 58.15 % | Pres: 998.33 hPa
[2026-05-21 16:16:36] Packet: 234 | Temp: 22.36 C | Humi: 58.26 % | Pres: 998.38 hPa
[2026-05-21 16:16:38] Packet: 235 | Temp: 22.35 C | Humi: 58.34 % | Pres: 998.43 hPa
[2026-05-21 16:16:40] Packet: 236 | Temp: 22.36 C | Humi: 58.37 % | Pres: 998.38 hPa
[2026-05-21 16:16:42] Packet: 237 | Temp: 22.37 C | Humi: 58.33 % | Pres: 998.39 hPa
[2026-05-21 16:16:44] Packet: 238 | Temp: 22.37 C | Humi: 58.43 % | Pres: 998.45 hPa
[2026-05-21 16:16:46] Packet: 239 | Temp: 22.37 C | Humi: 58.46 % | Pres: 998.41 hPa
[2026-05-21 16:16:48] Packet: 240 | Temp: 22.38 C | Humi: 58.54 % | Pres: 998.42 hPa
[2026-05-21 16:16:59] Packet: 245 | Temp: 22.42 C | Humi: 58.44 % | Pres: 998.40 hPa
[2026-05-21 16:17:00] Packet: 246 | Temp: 22.41 C | Humi: 58.41 % | Pres: 998.42 hPa
[2026-05-21 16:17:02] Packet: 247 | Temp: 22.43 C | Humi: 58.40 % | Pres: 998.41 hPa
[2026-05-21 16:17:04] Packet: 248 | Temp: 22.44 C | Humi: 58.36 % | Pres: 998.43 hPa
[2026-05-21 16:17:06] Packet: 249 | Temp: 22.42 C | Humi: 58.46 % | Pres: 998.41 hPa
[2026-05-21 16:17:08] Packet: 250 | Temp: 22.45 C | Humi: 58.59 % | Pres: 998.45 hPa
[2026-05-21 16:17:10] Packet: 251 | Temp: 22.45 C | Humi: 58.53 % | Pres: 998.47 hPa
[2026-05-21 16:17:12] Packet: 252 | Temp: 22.46 C | Humi: 58.46 % | Pres: 998.45 hPa
[2026-05-21 16:17:14] Packet: 253 | Temp: 22.45 C | Humi: 58.37 % | Pres: 998.47 hPa
[2026-05-21 16:17:16] Packet: 254 | Temp: 22.45 C | Humi: 58.29 % | Pres: 998.42 hPa
[2026-05-21 16:17:18] Packet: 255 | Temp: 22.44 C | Humi: 58.28 % | Pres: 998.43 hPa
[2026-05-21 16:17:20] Packet: 256 | Temp: 22.42 C | Humi: 58.30 % | Pres: 998.44 hPa
[2026-05-21 16:17:22] Packet: 257 | Temp: 22.41 C | Humi: 58.28 % | Pres: 998.46 hPa
[2026-05-21 16:17:24] Packet: 258 | Temp: 22.40 C | Humi: 58.30 % | Pres: 998.44 hPa
[2026-05-21 16:17:26] Packet: 259 | Temp: 22.39 C | Humi: 58.31 % | Pres: 998.44 hPa
[2026-05-21 16:18:56] Packet: 304 | Temp: 22.43 C | Humi: 58.08 % | Pres: 998.42 hPa
[2026-05-21 16:18:58] Packet: 305 | Temp: 22.44 C | Humi: 57.95 % | Pres: 998.43 hPa
[2026-05-21 16:19:00] Packet: 306 | Temp: 22.42 C | Humi: 57.75 % | Pres: 998.41 hPa
[2026-05-21 16:19:02] Packet: 307 | Temp: 22.44 C | Humi: 57.81 % | Pres: 998.44 hPa
[2026-05-21 16:19:04] Packet: 308 | Temp: 22.44 C | Humi: 57.87 % | Pres: 998.46 hPa
[2026-05-21 16:19:06] Packet: 309 | Temp: 22.44 C | Humi: 57.97 % | Pres: 998.40 hPa
[2026-05-21 16:19:08] Packet: 310 | Temp: 22.45 C | Humi: 59.44 % | Pres: 998.45 hPa
[2026-05-21 16:19:10] Packet: 311 | Temp: 22.46 C | Humi: 59.52 % | Pres: 998.45 hPa
[2026-05-21 16:19:12] Packet: 312 | Temp: 22.47 C | Humi: 58.81 % | Pres: 998.44 hPa
[2026-05-21 16:19:14] Packet: 313 | Temp: 22.46 C | Humi: 58.48 % | Pres: 998.45 hPa
[2026-05-21 16:19:16] Packet: 314 | Temp: 22.45 C | Humi: 58.77 % | Pres: 998.51 hPa
[2026-05-21 16:19:18] Packet: 315 | Temp: 22.47 C | Humi: 58.74 % | Pres: 998.50 hPa
[2026-05-21 16:19:20] Packet: 316 | Temp: 22.49 C | Humi: 59.39 % | Pres: 998.51 hPa
[2026-05-21 16:19:22] Packet: 317 | Temp: 22.49 C | Humi: 59.02 % | Pres: 998.48 hPa
[2026-05-21 16:19:24] Packet: 318 | Temp: 22.52 C | Humi: 58.76 % | Pres: 998.49 hPa
[2026-05-21 16:19:43] Packet: 327 | Temp: 22.57 C | Humi: 57.19 % | Pres: 998.45 hPa
[2026-05-21 16:19:44] Packet: 328 | Temp: 22.58 C | Humi: 57.73 % | Pres: 998.45 hPa
[2026-05-21 16:19:46] Packet: 329 | Temp: 22.57 C | Humi: 57.00 % | Pres: 998.42 hPa
[2026-05-21 16:19:48] Packet: 330 | Temp: 22.58 C | Humi: 57.10 % | Pres: 998.42 hPa
[2026-05-21 16:19:50] Packet: 331 | Temp: 22.56 C | Humi: 57.05 % | Pres: 998.36 hPa
[2026-05-21 16:19:52] Packet: 332 | Temp: 22.58 C | Humi: 57.29 % | Pres: 998.43 hPa
[2026-05-21 16:19:54] Packet: 333 | Temp: 22.57 C | Humi: 57.15 % | Pres: 998.39 hPa
[2026-05-21 16:19:56] Packet: 334 | Temp: 22.57 C | Humi: 57.42 % | Pres: 998.43 hPa
[2026-05-21 16:19:58] Packet: 335 | Temp: 22.57 C | Humi: 57.10 % | Pres: 998.42 hPa
[2026-05-21 16:20:00] Packet: 336 | Temp: 22.57 C | Humi: 57.22 % | Pres: 998.43 hPa
[2026-05-21 16:20:02] Packet: 337 | Temp: 22.57 C | Humi: 57.12 % | Pres: 998.42 hPa
[2026-05-21 16:20:04] Packet: 338 | Temp: 22.58 C | Humi: 57.48 % | Pres: 998.42 hPa
[2026-05-21 16:20:06] Packet: 339 | Temp: 22.59 C | Humi: 58.26 % | Pres: 998.42 hPa
[2026-05-21 16:20:08] Packet: 340 | Temp: 22.61 C | Humi: 58.86 % | Pres: 998.40 hPa
[2026-05-21 16:20:10] Packet: 341 | Temp: 22.64 C | Humi: 60.04 % | Pres: 998.41 hPa
[2026-05-21 16:20:12] Packet: 342 | Temp: 22.66 C | Humi: 59.61 % | Pres: 998.41 hPa
[2026-05-21 16:20:14] Packet: 343 | Temp: 22.68 C | Humi: 59.40 % | Pres: 998.43 hPa
[2026-05-21 16:20:16] Packet: 344 | Temp: 22.71 C | Humi: 59.42 % | Pres: 998.43 hPa
[2026-05-21 16:20:18] Packet: 345 | Temp: 22.73 C | Humi: 58.96 % | Pres: 998.49 hPa
[2026-05-21 16:20:20] Packet: 346 | Temp: 22.73 C | Humi: 58.77 % | Pres: 998.46 hPa
[2026-05-21 16:20:22] Packet: 347 | Temp: 22.71 C | Humi: 57.91 % | Pres: 998.46 hPa
[2026-05-21 16:20:24] Packet: 348 | Temp: 22.70 C | Humi: 57.72 % | Pres: 998.47 hPa
[2026-05-21 16:20:26] Packet: 349 | Temp: 22.70 C | Humi: 57.67 % | Pres: 998.45 hPa
[2026-05-21 16:20:28] Packet: 350 | Temp: 22.68 C | Humi: 57.31 % | Pres: 998.45 hPa
[2026-05-21 16:20:30] Packet: 351 | Temp: 22.67 C | Humi: 57.02 % | Pres: 998.46 hPa
[2026-05-21 16:20:32] Packet: 352 | Temp: 22.65 C | Humi: 57.82 % | Pres: 998.45 hPa
[2026-05-21 16:20:34] Packet: 353 | Temp: 22.66 C | Humi: 58.44 % | Pres: 998.49 hPa
[2026-05-21 16:20:36] Packet: 354 | Temp: 22.68 C | Humi: 58.77 % | Pres: 998.46 hPa
[2026-05-21 16:20:38] Packet: 355 | Temp: 22.70 C | Humi: 58.26 % | Pres: 998.47 hPa
[2026-05-21 16:20:40] Packet: 356 | Temp: 22.72 C | Humi: 58.62 % | Pres: 998.45 hPa
[2026-05-21 16:20:42] Packet: 357 | Temp: 22.72 C | Humi: 57.21 % | Pres: 998.46 hPa
[2026-05-21 16:20:44] Packet: 358 | Temp: 22.72 C | Humi: 56.39 % | Pres: 998.43 hPa
[2026-05-21 16:20:46] Packet: 359 | Temp: 22.72 C | Humi: 56.60 % | Pres: 998.47 hPa
[2026-05-21 16:20:48] Packet: 360 | Temp: 22.70 C | Humi: 56.37 % | Pres: 998.45 hPa
[2026-05-21 16:20:50] Packet: 361 | Temp: 22.70 C | Humi: 56.05 % | Pres: 998.48 hPa
2026-05-21 16:25:27   35                22.91             56.50               998.51         
2026-05-21 16:26:34   14                22.69             54.85               998.71         
2026-05-21 16:27:04   29                22.92             55.13               998.40         
2026-05-21 16:27:34   44                23.15             52.31               998.54         
2026-05-21 16:28:04   59                22.94             51.98               998.56         
2026-05-21 16:28:35   74                22.86             51.53               998.56         
2026-05-21 16:37:52   352               22.45             48.92               998.39         
2026-05-21 16:40:20   426               22.46             48.71               998.59         
2026-05-21 16:40:50   441               22.50             48.89               998.55         
2026-05-21 16:42:58   15                22.35             48.24               998.59         
2026-05-21 16:43:28   30                22.30             48.57               998.58         
2026-05-21 16:44:48   70                22.21             48.97               998.53         
2026-05-21 16:56:58   15                22.25             50.39               998.62         
2026-05-21 16:57:28   30                22.31             48.92               998.64         
2026-05-21 16:57:58   45                22.32             48.45               998.67         
2026-05-21 16:58:28   60                22.31             49.13               998.66         
2026-05-21 16:58:58   75                22.31             48.99               998.63         
2026-05-21 16:59:28   90                22.23             49.37               998.68         
2026-05-21 17:01:11   6                 22.24             49.14               998.76         
2026-05-21 17:01:41   21                22.23             51.16               998.74         
2026-05-21 17:04:10   95                22.14             49.53               998.71         
